label,mode,stake,edge,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
S s=0.01 e=0.02 p=0.5 mo=2.0,SIMPLE,0.01,0.02,0.5,2.0,1211,63.3,0.1,202.4,1.2,24.9,5,1.6,0.047,0.533
S s=0.01 e=0.02 p=0.5 mo=3.0,SIMPLE,0.01,0.02,0.5,3.0,1257,62.8,0.12,203.1,1.6,27.2,5,1.62,0.057,0.623
S s=0.01 e=0.02 p=0.5 mo=None,SIMPLE,0.01,0.02,0.5,,1257,62.8,0.12,203.1,1.6,27.2,5,1.62,0.057,0.623
S s=0.01 e=0.02 p=0.55 mo=2.0,SIMPLE,0.01,0.02,0.55,2.0,1152,64.4,0.93,222.1,11.0,16.6,4,1.58,0.662,5.465
S s=0.01 e=0.02 p=0.55 mo=3.0,SIMPLE,0.01,0.02,0.55,3.0,1152,64.4,0.93,222.1,11.0,16.6,4,1.58,0.662,5.465
S s=0.01 e=0.02 p=0.55 mo=None,SIMPLE,0.01,0.02,0.55,,1152,64.4,0.93,222.1,11.0,16.6,4,1.58,0.662,5.465
S s=0.01 e=0.02 p=0.6 mo=2.0,SIMPLE,0.01,0.02,0.6,2.0,974,65.7,0.28,205.5,2.8,19.8,5,1.53,0.139,1.546
S s=0.01 e=0.02 p=0.6 mo=3.0,SIMPLE,0.01,0.02,0.6,3.0,974,65.7,0.28,205.5,2.8,19.8,5,1.53,0.139,1.546
S s=0.01 e=0.02 p=0.6 mo=None,SIMPLE,0.01,0.02,0.6,,974,65.7,0.28,205.5,2.8,19.8,5,1.53,0.139,1.546
S s=0.01 e=0.02 p=0.65 mo=2.0,SIMPLE,0.01,0.02,0.65,2.0,746,67.3,-0.3,195.5,-2.2,21.3,4,1.49,-0.105,-1.561
S s=0.01 e=0.02 p=0.65 mo=3.0,SIMPLE,0.01,0.02,0.65,3.0,746,67.3,-0.3,195.5,-2.2,21.3,4,1.49,-0.105,-1.561
S s=0.01 e=0.02 p=0.65 mo=None,SIMPLE,0.01,0.02,0.65,,746,67.3,-0.3,195.5,-2.2,21.3,4,1.49,-0.105,-1.561
S s=0.01 e=0.03 p=0.5 mo=2.0,SIMPLE,0.01,0.03,0.5,2.0,724,66.7,4.72,272.3,36.2,8.5,6,1.58,4.275,28.457
S s=0.01 e=0.03 p=0.5 mo=3.0,SIMPLE,0.01,0.03,0.5,3.0,749,66.4,5.04,281.5,40.8,8.4,4,1.6,4.858,30.566
S s=0.01 e=0.03 p=0.5 mo=None,SIMPLE,0.01,0.03,0.5,,749,66.4,5.04,281.5,40.8,8.4,4,1.6,4.858,30.566
S s=0.01 e=0.03 p=0.55 mo=2.0,SIMPLE,0.01,0.03,0.55,2.0,706,67.3,5.16,277.5,38.8,8.0,5,1.57,4.832,31.14
S s=0.01 e=0.03 p=0.55 mo=3.0,SIMPLE,0.01,0.03,0.55,3.0,706,67.3,5.16,277.5,38.8,8.0,5,1.57,4.832,31.14
S s=0.01 e=0.03 p=0.55 mo=None,SIMPLE,0.01,0.03,0.55,,706,67.3,5.16,277.5,38.8,8.0,5,1.57,4.832,31.14
S s=0.01 e=0.03 p=0.6 mo=2.0,SIMPLE,0.01,0.03,0.6,2.0,624,68.8,5.18,268.9,34.4,8.6,4,1.53,3.986,30.466
S s=0.01 e=0.03 p=0.6 mo=3.0,SIMPLE,0.01,0.03,0.6,3.0,624,68.8,5.18,268.9,34.4,8.6,4,1.53,3.986,30.466
