label,stake,prob,max_odds,clv,bets,wr,roi,final_bk,drawdown,score,score2
S s=0.01 p=0.5 mo=2.0 clv=False,0.01,0.5,2.0,False,685,65.1,2.14,229.9,10.9,1.367,12.448
S s=0.01 p=0.5 mo=2.0 clv=True,0.01,0.5,2.0,True,361,68.7,8.24,263.5,4.1,7.69,46.542
S s=0.01 p=0.5 mo=3.0 clv=False,0.01,0.5,3.0,False,708,64.5,2.04,229.5,11.5,1.286,11.854
S s=0.01 p=0.5 mo=3.0 clv=True,0.01,0.5,3.0,True,370,68.1,7.85,261.9,5.2,5.901,44.004
S s=0.01 p=0.5 mo=None clv=False,0.01,0.5,,False,708,64.5,2.04,229.5,11.5,1.286,11.854
S s=0.01 p=0.5 mo=None clv=True,0.01,0.5,,True,370,68.1,7.85,261.9,5.2,5.901,44.004
S s=0.01 p=0.55 mo=2.0 clv=False,0.01,0.55,2.0,False,673,65.4,2.16,229.6,9.6,1.535,12.715
S s=0.01 p=0.55 mo=2.0 clv=True,0.01,0.55,2.0,True,354,69.2,8.88,267.0,4.1,8.153,50.001
S s=0.01 p=0.55 mo=3.0 clv=False,0.01,0.55,3.0,False,673,65.4,2.16,229.6,9.6,1.535,12.715
S s=0.01 p=0.55 mo=3.0 clv=True,0.01,0.55,3.0,True,354,69.2,8.88,267.0,4.1,8.153,50.001
S s=0.01 p=0.55 mo=None clv=False,0.01,0.55,,False,673,65.4,2.16,229.6,9.6,1.535,12.715
S s=0.01 p=0.55 mo=None clv=True,0.01,0.55,,True,354,69.2,8.88,267.0,4.1,8.153,50.001
S s=0.01 p=0.6 mo=2.0 clv=False,0.01,0.6,2.0,False,591,67.9,3.95,248.8,9.8,2.479,22.734
S s=0.01 p=0.6 mo=2.0 clv=True,0.01,0.6,2.0,True,311,70.4,8.58,256.6,5.3,5.368,46.678
S s=0.01 p=0.6 mo=3.0 clv=False,0.01,0.6,3.0,False,591,67.9,3.95,248.8,9.8,2.479,22.734
S s=0.01 p=0.6 mo=3.0 clv=True,0.01,0.6,3.0,True,311,70.4,8.58,256.6,5.3,5.368,46.678
S s=0.01 p=0.6 mo=None clv=False,0.01,0.6,,False,591,67.9,3.95,248.8,9.8,2.479,22.734
S s=0.01 p=0.6 mo=None clv=True,0.01,0.6,,True,311,70.4,8.58,256.6,5.3,5.368,46.678
S s=0.01 p=0.65 mo=2.0 clv=False,0.01,0.65,2.0,False,490,67.6,1.26,212.3,12.2,0.502,6.853
S s=0.01 p=0.65 mo=2.0 clv=True,0.01,0.65,2.0,True,258,69.0,3.4,217.9,6.7,1.155,17.631
