stake,prob,max_odds,clv,bets,wr,roi,final_bk,drawdown,score,score2
0.01,0.5,2.0,False,1254,68.1,8.75,456.5,6.9,18.641,58.135
0.01,0.5,2.0,True,1157,68.7,10.14,477.1,6.3,21.995,67.026
0.01,0.5,3.0,False,1446,66.5,10.39,575.0,9.0,20.878,68.821
0.01,0.5,3.0,True,1347,66.8,11.42,587.7,8.6,22.463,75.195
0.01,0.5,,False,1446,66.5,10.39,575.0,9.0,20.878,68.821
0.01,0.5,,True,1347,66.8,11.42,587.7,8.6,22.463,75.195
0.01,0.55,2.0,False,1228,68.2,8.55,441.6,7.3,16.549,56.384
0.01,0.55,2.0,True,1132,68.9,10.04,464.7,6.9,19.206,65.743
0.01,0.55,3.0,False,1255,68.0,8.77,454.2,7.9,16.07,57.63
0.01,0.55,3.0,True,1159,68.6,10.23,477.4,7.4,18.741,66.843
0.01,0.55,,False,1255,68.0,8.77,454.2,7.9,16.07,57.63
0.01,0.55,,True,1159,68.6,10.23,477.4,7.4,18.741,66.843
0.01,0.6,2.0,False,1046,70.0,8.31,398.2,8.3,11.966,53.001
0.01,0.6,2.0,True,950,70.9,10.11,421.3,7.7,14.463,64.026
0.01,0.6,3.0,False,1046,70.0,8.31,398.2,8.3,11.966,53.001
0.01,0.6,3.0,True,950,70.9,10.11,421.3,7.7,14.463,64.026
0.01,0.6,,False,1046,70.0,8.31,398.2,8.3,11.966,53.001
0.01,0.6,,True,950,70.9,10.11,421.3,7.7,14.463,64.026
0.01,0.65,2.0,False,826,70.2,5.08,289.4,10.0,4.46,30.707
0.01,0.65,2.0,True,739,71.2,6.59,304.4,9.7,5.379,39.315
0.01,0.65,3.0,False,826,70.2,5.08,289.4,10.0,4.46,30.707
0.01,0.65,3.0,True,739,71.2,6.59,304.4,9.7,5.379,39.315
0.01,0.65,,False,826,70.2,5.08,289.4,10.0,4.46,30.707
0.01,0.65,,True,739,71.2,6.59,304.4,9.7,5.379,39.315
0.02,0.5,2.0,False,1254,68.1,8.69,795.2,12.6,23.674,54.209
0.02,0.5,2.0,True,1157,68.7,10.19,859.0,9.4,35.013,65.12
0.02,0.5,3.0,False,1446,66.5,10.42,1146.7,17.3,27.299,62.68
0.02,0.5,3.0,True,1347,66.8,11.36,1183.5,16.7,29.498,68.218
0.02,0.5,,False,1446,66.5,10.42,1146.7,17.3,27.299,62.68
0.02,0.5,,True,1347,66.8,11.36,1183.5,16.7,29.498,68.218
0.02,0.55,2.0,False,1228,68.2,8.54,755.1,12.6,22.1,53.123
0.02,0.55,2.0,True,1132,68.9,10.17,825.8,9.7,32.323,64.598
0.02,0.55,3.0,False,1255,68.0,8.81,789.8,12.6,23.498,54.976
0.02,0.55,3.0,True,1159,68.6,10.39,860.8,10.8,30.509,65.374
0.02,0.55,,False,1255,68.0,8.81,789.8,12.6,23.498,54.976
0.02,0.55,,True,1159,68.6,10.39,860.8,10.8,30.509,65.374
0.02,0.6,2.0,False,1046,70.0,8.26,648.9,14.3,15.696,49.224
0.02,0.6,2.0,True,950,70.9,10.22,717.6,11.1,23.421,62.34
0.02,0.6,3.0,False,1046,70.0,8.26,648.9,14.3,15.696,49.224
0.02,0.6,3.0,True,950,70.9,10.22,717.6,11.1,23.421,62.34
0.02,0.6,,False,1046,70.0,8.26,648.9,14.3,15.696,49.224
0.02,0.6,,True,950,70.9,10.22,717.6,11.1,23.421,62.34
0.02,0.65,2.0,False,826,70.2,4.95,384.8,16.2,5.692,27.856
0.02,0.65,2.0,True,739,71.2,6.68,426.9,15.0,7.58,37.526
0.02,0.65,3.0,False,826,70.2,4.95,384.8,16.2,5.692,27.856
0.02,0.65,3.0,True,739,71.2,6.68,426.9,15.0,7.58,37.526
0.02,0.65,,False,826,70.2,4.95,384.8,16.2,5.692,27.856
0.02,0.65,,True,739,71.2,6.68,426.9,15.0,7.58,37.526
0.03,0.5,2.0,False,1254,68.1,8.61,1229.6,18.5,27.813,50.06
0.03,0.5,2.0,True,1157,68.7,10.23,1373.9,13.0,45.255,62.807
0.03,0.5,3.0,False,1446,66.5,10.4,1993.9,25.2,35.622,56.626
0.03,0.5,3.0,True,1347,66.8,11.23,2070.2,24.2,38.705,61.376
0.03,0.5,,False,1446,66.5,10.4,1993.9,25.2,35.622,56.626
0.03,0.5,,True,1347,66.8,11.23,2070.2,24.2,38.705,61.376
0.03,0.55,2.0,False,1228,68.2,8.51,1151.3,18.5,25.698,49.334
0.03,0.55,2.0,True,1132,68.9,10.28,1309.0,13.0,42.752,62.919
0.03,0.55,3.0,False,1255,68.0,8.83,1220.8,18.5,27.575,51.345
0.03,0.55,3.0,True,1159,68.6,10.53,1379.4,14.3,41.18,63.662
0.03,0.55,,False,1255,68.0,8.83,1220.8,18.5,27.575,51.345
0.03,0.55,,True,1159,68.6,10.53,1379.4,14.3,41.18,63.662
0.03,0.6,2.0,False,1046,70.0,8.18,960.0,20.9,18.149,44.97
0.03,0.6,2.0,True,950,70.9,10.33,1111.0,15.1,30.126,60.127
0.03,0.6,3.0,False,1046,70.0,8.18,960.0,20.9,18.149,44.97
0.03,0.6,3.0,True,950,70.9,10.33,1111.0,15.1,30.126,60.127
0.03,0.6,,False,1046,70.0,8.18,960.0,20.9,18.149,44.97
0.03,0.6,,True,950,70.9,10.33,1111.0,15.1,30.126,60.127
