label,mode,stake,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
PROB s=0.01 p=0.5 mo=2.0,SIMPLE,0.01,0.5,2.0,2873,61.5,-0.52,172.0,-14.0,33.5,5,1.64,-0.419,-2.756
PROB s=0.01 p=0.5 mo=3.0,SIMPLE,0.01,0.5,3.0,2963,61.2,-0.4,177.6,-11.2,35.9,7,1.66,-0.313,-2.051
PROB s=0.01 p=0.5 mo=5.0,SIMPLE,0.01,0.5,5.0,2963,61.2,-0.4,177.6,-11.2,35.9,7,1.66,-0.313,-2.051
PROB s=0.01 p=0.5 mo=None,SIMPLE,0.01,0.5,,2963,61.2,-0.4,177.6,-11.2,35.9,7,1.66,-0.313,-2.051
PROB s=0.01 p=0.55 mo=2.0,SIMPLE,0.01,0.55,2.0,2407,64.0,0.63,231.3,15.7,25.1,5,1.59,0.623,3.673
PROB s=0.01 p=0.55 mo=3.0,SIMPLE,0.01,0.55,3.0,2407,64.0,0.63,231.3,15.7,25.1,5,1.59,0.623,3.673
PROB s=0.01 p=0.55 mo=5.0,SIMPLE,0.01,0.55,5.0,2407,64.0,0.63,231.3,15.7,25.1,5,1.59,0.623,3.673
PROB s=0.01 p=0.55 mo=None,SIMPLE,0.01,0.55,,2407,64.0,0.63,231.3,15.7,25.1,5,1.59,0.623,3.673
PROB s=0.01 p=0.58 mo=2.0,SIMPLE,0.01,0.58,2.0,2048,64.8,-0.61,175.2,-12.4,27.9,5,1.55,-0.445,-3.355
PROB s=0.01 p=0.58 mo=3.0,SIMPLE,0.01,0.58,3.0,2048,64.8,-0.61,175.2,-12.4,27.9,5,1.55,-0.445,-3.355
PROB s=0.01 p=0.58 mo=5.0,SIMPLE,0.01,0.58,5.0,2048,64.8,-0.61,175.2,-12.4,27.9,5,1.55,-0.445,-3.355
PROB s=0.01 p=0.58 mo=None,SIMPLE,0.01,0.58,,2048,64.8,-0.61,175.2,-12.4,27.9,5,1.55,-0.445,-3.355
PROB s=0.01 p=0.6 mo=2.0,SIMPLE,0.01,0.6,2.0,1788,65.8,-0.85,169.7,-15.2,27.4,5,1.52,-0.554,-4.624
PROB s=0.01 p=0.6 mo=3.0,SIMPLE,0.01,0.6,3.0,1788,65.8,-0.85,169.7,-15.2,27.4,5,1.52,-0.554,-4.624
PROB s=0.01 p=0.6 mo=5.0,SIMPLE,0.01,0.6,5.0,1788,65.8,-0.85,169.7,-15.2,27.4,5,1.52,-0.554,-4.624
PROB s=0.01 p=0.6 mo=None,SIMPLE,0.01,0.6,,1788,65.8,-0.85,169.7,-15.2,27.4,5,1.52,-0.554,-4.624
PROB s=0.01 p=0.62 mo=2.0,SIMPLE,0.01,0.62,2.0,1514,66.8,-1.26,163.2,-18.4,26.3,5,1.49,-0.699,-6.797
PROB s=0.01 p=0.62 mo=3.0,SIMPLE,0.01,0.62,3.0,1514,66.8,-1.26,163.2,-18.4,26.3,5,1.49,-0.699,-6.797
PROB s=0.01 p=0.62 mo=5.0,SIMPLE,0.01,0.62,5.0,1514,66.8,-1.26,163.2,-18.4,26.3,5,1.49,-0.699,-6.797
PROB s=0.01 p=0.62 mo=None,SIMPLE,0.01,0.62,,1514,66.8,-1.26,163.2,-18.4,26.3,5,1.49,-0.699,-6.797
PROB s=0.01 p=0.65 mo=2.0,SIMPLE,0.01,0.65,2.0,1240,68.3,-0.96,176.7,-11.7,21.1,5,1.46,-0.553,-5.394
PROB s=0.01 p=0.65 mo=3.0,SIMPLE,0.01,0.65,3.0,1240,68.3,-0.96,176.7,-11.7,21.1,5,1.46,-0.553,-5.394
PROB s=0.01 p=0.65 mo=5.0,SIMPLE,0.01,0.65,5.0,1240,68.3,-0.96,176.7,-11.7,21.1,5,1.46,-0.553,-5.394
PROB s=0.01 p=0.65 mo=None,SIMPLE,0.01,0.65,,1240,68.3,-0.96,176.7,-11.7,21.1,5,1.46,-0.553,-5.394
PROB s=0.01 p=0.7 mo=2.0,SIMPLE,0.01,0.7,2.0,881,71.2,0.86,215.6,7.8,13.6,5,1.42,0.573,5.041
PROB s=0.01 p=0.7 mo=3.0,SIMPLE,0.01,0.7,3.0,881,71.2,0.86,215.6,7.8,13.6,5,1.42,0.573,5.041
PROB s=0.01 p=0.7 mo=5.0,SIMPLE,0.01,0.7,5.0,881,71.2,0.86,215.6,7.8,13.6,5,1.42,0.573,5.041
PROB s=0.01 p=0.7 mo=None,SIMPLE,0.01,0.7,,881,71.2,0.86,215.6,7.8,13.6,5,1.42,0.573,5.041
PROB s=0.02 p=0.5 mo=2.0,SIMPLE,0.02,0.5,2.0,2873,61.5,-0.79,122.5,-38.8,63.7,5,1.64,-0.609,-2.286
PROB s=0.02 p=0.5 mo=3.0,SIMPLE,0.02,0.5,3.0,2963,61.2,-0.61,135.5,-32.3,65.6,7,1.66,-0.492,-1.677
PROB s=0.02 p=0.5 mo=5.0,SIMPLE,0.02,0.5,5.0,2963,61.2,-0.61,135.5,-32.3,65.6,7,1.66,-0.492,-1.677
PROB s=0.02 p=0.5 mo=None,SIMPLE,0.02,0.5,,2963,61.2,-0.61,135.5,-32.3,65.6,7,1.66,-0.492,-1.677
PROB s=0.02 p=0.55 mo=2.0,SIMPLE,0.02,0.55,2.0,2407,64.0,0.37,237.6,18.8,43.4,5,1.59,0.434,1.632
PROB s=0.02 p=0.55 mo=3.0,SIMPLE,0.02,0.55,3.0,2407,64.0,0.37,237.6,18.8,43.4,5,1.59,0.434,1.632
PROB s=0.02 p=0.55 mo=5.0,SIMPLE,0.02,0.55,5.0,2407,64.0,0.37,237.6,18.8,43.4,5,1.59,0.434,1.632
